일련번호,제목,작성일,내용,주소,썸네일,작성자,제목_키워드
1,"대시보드로 보는 모니터링의 미래, '풀스택 옵저버빌리티'",2023.05.31.,"IT 성능 관리를 위해 도입하던 ‘모니터링’이 한계에 달했다는 평가와 더불어, ‘옵저버빌리티’가 부상하는 흐름이 나타나고 있습니다. 이미 많은 엔지니어 분들이 옵저버빌리티에 대해 들어 보셨고 관련 툴 도입을 고려하고 계실 것입니다. 그럼에도 옵저버빌리티를 처음 접하거나, 모니터링과의 차이점에 대해 더 이해가 필요한 분들을 위해 옵저버빌리티를 소개하고, 대시보드 예시 화면를 통해 풀스택 옵저버빌리티의 중요성을 살펴보겠습니다.",https://yozm.wishket.com/magazine/detail/2047/, https://yozm.wishket.com/media/news/2047/image1.png,조은정,대시보드
2,티오베 선정 ‘올해의 프로그래밍 언어’의 비밀,2023.05.31.,"좋은 프로그래밍 언어는 어떻게 정의할 수 있을까요? 상황에 따라 중요도는 다르겠지만 보통 1) 문제를 해결하는 능력 2) 코드의 성능(실행 속도, 안정성) 3) 지원되는 기능 4) 용이한 유지 보수 5) 사용하기 쉬운 정도 6) 사용하는 개발자의 수(인기도) 등의 기준을 생각해 볼 수 있습니다. 특히 어떤 프로그래밍 언어를 가장 많이 쓰고 있는지가 중요한 기준이 될 수 있는데요. 이번 글에서 살펴볼 티오베는 티오베 지수(Tiobe Index)를 통해, 매월 프로그래밍 인기도를 측정하고 있습니다. 과연 티오베는 어떤 방법으로, 그리고 왜 이런 지표를 만들었을지에 대해 알아보겠습니다.",https://yozm.wishket.com/magazine/detail/2046/,https://yozm.wishket.com/media/news/2046/image6.jpg,애옹킴,쿠팡
3,쿠팡은 디자인 시스템을 어떻게 구축했을까?,2023.05.30.,"2020년 4월, 쿠팡은 UX 디자인 및 모바일 엔지니어링 전문가로 태스크 포스 팀(TF)을 구성하여, 로켓 디자인 시스템(Rocket Design System, RDS)을 향한 여정을 시작했습니다. 사내 니즈과 제약사항에 대한 깊은 논의를 시작으로 기존 디자인, 코드, 프로세스를 분석하고, 이커머스 시장의 특성과 쿠팡의 초고속 성장 속도를 반영하는 시스템을 만들기 시작했습니다.",https://yozm.wishket.com/magazine/detail/2045/,https://yozm.wishket.com/media/news/2045/1_OcYei5T.jpg,쿠팡 엔지니어링,상관관계
4,[쉽게 배우는 AI] 6. 상관관계와 인과관계,2023.05.26.,"지금까지 데이터 산업에서 데이터를 표나 그래프로 정리해서 본다는 것을 배웠습니다. 그렇다면 표에 정리했을 때, 독립변수와 종속변수는 어떻게 표현될까요? 표에서 어떤 열의 값이 변할 때 함께 변하는 다른 열이 있고, 이러한 상황이 해당 열에 모두 적용된다면 두 변수는 서로 엮여있다고 볼 수 있습니다. 이런 변화의 모습은 상관관계와 인과관계로 나뉘며, 상관관계가 인과관계를 포함하고 있습니다. 모든 인과관계는 상관관계이지만, 모든 상관관계가 인과관계는 아닐 수도 있습니다. 예를 들어, 바깥 기온이 높아질수록 실내 에어컨 온도가 낮아진다면, 실내 온도에 따라 실내 에어컨 온도가 변화해 둘은 인과관계에 있다고 볼 수 있습니다.",https://yozm.wishket.com/magazine/detail/2043/,https://yozm.wishket.com/media/news/2043/cats2.jpg,코믹스택,리더
5,파이콘에는 미래 세대를 위한 '이것'이 있다,2023.05.26.,"아이를 키우고 있는 집에서는 엄마든 아빠든 주말에 시간을 비워 세미나나 컨퍼런스에 참여하기가 쉽지 않다. 누군가는 독박 육아를 하게 될 것이 분명하기에 망설일 수밖에 없다. 또 배우자가 출장 중이거나 아이를 맡길 곳이 없다면 참여는 더 어려워진다. 하지만 2017년의 파이콘에서는 이 문제를 모두가 나서서 해결하기로 했기에 큰 의미가 있었다. 이 글에서는 어떻게 이 문제를 해결했고, 어떤 고민이 있었는지를 공유하고자 한다. 다양성 있는 커뮤니티를 꾸리고자 하는 이들에게 도움이 되길 바란다.",https://yozm.wishket.com/magazine/detail/2042/,https://yozm.wishket.com/media/news/2042/pexels-emma-bauso-2253879.jpg,박조은,플랫폼
6,리더로 성장하고 싶은 개발자를 위한 3가지 기술,2023.05.25.,"매니지먼트는 프로젝트 관리, 팀 관리, 프로세스 관리로 구분할 수 있습니다. 첫 번째 프로젝트 관리는 출시 시기와 중점을 둬야 하는 일을 관리하는 기술입니다. 두 번째는 팀 관리, 즉 사람 관리입니다. 세 번째로 프로세스 관리입니다. 진행하는 과정을 관리하는 기술입니다. 주니어 개발자로 입사하면 처음에는 주어진 일을 하며, 개발 방법과 개발 주기를 배웁니다. 연차가 높아질수록 프로젝트를 관리하는 방법, 직원을 관리하는 방법, 좋은 프로세스를 설정하는 방법을 고민하며 성장합니다. 이 단계를 거쳐야 좋은 시니어 개발자가 되거나 좋은 개발 팀장이 될 수 있습니다.",https://yozm.wishket.com/magazine/detail/2040/,https://yozm.wishket.com/media/news/2040/4.png,골든래빗,구글
7,초보 Spring(Java) 개발자를 위한 완전 기초 지식(실무편),2023.05.25.,이전 글인 '이론편'에서는 자바의 라이프 사이클과 기초 지식에 대해 설명했습니다. 실무 편에서는 해당 라이프 사이클의 코드와 적용 방법에 대해 설명해 보려고 합니다. 다른 언어를 배울 때도 해당 언어의 메모리 구조와 라이프 사이클을 공부한 후 개발하면 언어에 조금 더 쉽게 접근할 수 있습니다.,https://yozm.wishket.com/magazine/detail/2039/,https://yozm.wishket.com/media/news/2039/image3.png,sh,소고기
8,CNCF 플랫폼 백서,2023.05.24.,"이 백서는 기업의 리더, 아키텍트 및 플랫폼 팀 리더가 클라우드 컴퓨팅을 위한 기업 내부 플랫폼을 지지하고, 조사하고, 계획할 수 있도록 지원하고자 합니다. 플랫폼은 실제로 기업의 실제 가치 흐름에 큰 영향을 미치지만, 표면적으로는 간접적으로만 영향을 받는 것으로 보이기 때문에 플랫폼 팀의 장기적인 지속 가능성과 성공을 위해서는 경영진의 합의와 지원이 필수적입니다. 이 백서에서는 플랫폼의 가치가 무엇인지, 그 가치를 측정하는 방법, 가치를 극대화하는 플랫폼 팀을 구현하는 방법에 대해 논의함으로써 경영진 및 플랫폼 사용자 등 관계자들의 지원이 가능하게 할 것입니다.",https://yozm.wishket.com/magazine/detail/2037/,https://yozm.wishket.com/media/news/2037/platform_components.png,조훈(CNCF & NCP 앰버서더),독립변수와 종속변수
9,구글의 프론트엔드 성공 지표 ‘Core Web Vitals’,2023.05.23.,"프론트엔드 성능은 사용자 경험과 웹사이트의 성공에 매우 중요한 역할을 합니다. 이는 사용자가 웹사이트를 방문했을 때 페이지가 로드되는 속도나 반응성, 사용자의 인터랙션(interaction) 등을 말합니다. 웹사이트의 성능은 다양한 요소들에 의해 결정되는데요. 예를 들어, 빠른 로딩 속도는 웹사이트의 서비스에 필요한 파일 크기와 개수, 웹사이트의 응답 속도, 네트워크 연결 상태 등에 영향을 받습니다. 이와 같이 성능을 판단하는 요소들을 성능 지표라고 부를 수 있습니다. 이번 글에서는 웹사이트 성능 지표를 판단할 수 있는 구글의 ‘Core Web Vitals’에 대해 살펴보겠습니다.",https://yozm.wishket.com/magazine/detail/2036/,https://yozm.wishket.com/media/news/2036/이미지_1.png,himprover.com,개발자
10,오픈소스 '슬기롭게' 사용하는 법,2023.05.23.,"디지털 전환이 본격화되면서, 소프트웨어 기술 노하우를 공유하고 인공지능이나 블록체인과 같은 신기술의 시드 기술을 제공하는 오픈소스 사용은 필수가 되었다. 오픈소스는 비즈니스 생태계에 파괴적인 혁신을 초래하며, 다양한 참여자들의 소프트웨어 시장 진입장벽을 완화하고 있다. 오픈소스라고 하면 이름 때문에 아무런 제약 없이 무료로 사용할 수 있다고 생각하기 쉬우나, 실제 실무 환경에서는 생각보다 고려해야 하는 사항이 많다. 이번 글에서는 오픈소스 소프트웨어 사용 시 발생할 수 있는 문제와 이에 대응하기 위한 방안을 살펴보고자 한다.",https://yozm.wishket.com/magazine/detail/2035/,https://yozm.wishket.com/media/news/2035/image6_mSBSQso.png,김보안,개발자
